term,label,definition
http://purl.obolibrary.org/obo/WBPhenotype_0000542,fat,Animals exhibit an increased girth compared to a control animal of the same developmental stage.
http://purl.obolibrary.org/obo/WBPhenotype_0000319,large,Animals have increased girth and increased length compared to control animals at the same developmental stage.
http://purl.obolibrary.org/obo/WBPhenotype_0000229,small,Animals are shorter and thinner than control animals at the same developmental stage.
http://purl.obolibrary.org/obo/WBPhenotype_0000164,thin,Animals exhibit a reduced girth compared to a control animal of the same developmental stage.
http://purl.obolibrary.org/obo/WBPhenotype_0000688,sterile,"Animals generate defective gametes, are otherwise unable to reproduce or they generate progeny that are unable to reproduce."
http://purl.obolibrary.org/obo/WBPhenotype_0000022,long,Animals are longer than control animals at the same developmental stage.
http://purl.obolibrary.org/obo/WBPhenotype_0001010,clear,Animals appear unusually transparent when compared to control.
http://purl.obolibrary.org/obo/WBPhenotype_0000324,short,Animals exhibit a decreased body length compared to control animals of the same developmental stage.
http://purl.obolibrary.org/obo/WBPhenotype_0001261,pale,Animals show deficiencies in chroma resulting in increased translucency.
http://purl.obolibrary.org/obo/WBPhenotype_0000025,blistered,Fluid-filled blisters appear on the cuticle.
http://purl.obolibrary.org/obo/WBPhenotype_0000642,hyperactive,Worms move forward or backward with an increased rate of body bends per minute compared to control animals.
http://purl.obolibrary.org/obo/WBPhenotype_0001544,dauer sensory response variant,"Variations in the state or activity of a dauer stage organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus, compared to control."
http://purl.obolibrary.org/obo/WBPhenotype_0002448,enhanced acute pharyngeal pumping response to light,"Animals exhibit an enhanced acute pharyngeal pumping response to light, such that pharyngeal pumping rate decreases in response to light to a greater extent than in controls during the first 0-5 seconds after light exposure onset."
http://purl.obolibrary.org/obo/WBPhenotype_0000450,obsolete swollen male tail,OBSOLETE.
http://purl.obolibrary.org/obo/WBPhenotype_0001354,actin cytoskeleton filament morphology variant,"Animals exhibit variations in the form, structure, composition or arrangement of actin, an abundant cytoskeletal protein in most cells, often linked to the plasma membrane and concentrated at cell junctions compared to control (Wormatlas)."
http://purl.obolibrary.org/obo/WBPhenotype_0002258,nickel toxicity resistant,"Animals fail to exhibit toxicity to the concentration of nickel that elicits a response in control animals. Alternatively, animals require increased concentration or longer exposure to this compound to elicit the response compared to control animals. In C. elegans toxic responses to nickel include delayed development or lethality."
http://purl.obolibrary.org/obo/WBPhenotype_0000260,sheath cell secretion failure,The regulated release of materials by sheath cells is disrupted.
