Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	B cell	definition	Rectal cell, postembryonic blast cell in male
ERROR	duplicate_definition	U cell	definition	Rectal cell, postembryonic blast cell in male
ERROR	duplicate_definition	C	definition	Embryonic founder cell
ERROR	duplicate_definition	AB	definition	Embryonic founder cell
ERROR	duplicate_definition	MS	definition	Embryonic founder cell
ERROR	duplicate_definition	E	definition	Embryonic founder cell
ERROR	duplicate_definition	D	definition	Embryonic founder cell
ERROR	duplicate_definition	multicellular organism	definition	Anatomical structure that is an individual member of a species and consists of more than one cell.
ERROR	duplicate_definition	organism	definition	Anatomical structure that is an individual member of a species and consists of more than one cell.
ERROR	duplicate_definition	muscle of iris	definition	.
ERROR	duplicate_definition	early pharyngeal endoderm	definition	.
ERROR	duplicate_definition	layer of sclera	definition	.
ERROR	duplicate_label	towards	rdfs:label	towards
ERROR	duplicate_label	towards	rdfs:label	towards
ERROR	duplicate_label	sterile	rdfs:label	sterile
ERROR	duplicate_label	sterile	rdfs:label	sterile
ERROR	duplicate_label	quality	rdfs:label	quality
ERROR	duplicate_label	quality	rdfs:label	quality
ERROR	duplicate_label	pharynx	rdfs:label	pharynx
ERROR	duplicate_label	pharynx	rdfs:label	pharynx
ERROR	duplicate_label	organism	rdfs:label	organism
ERROR	duplicate_label	organism	rdfs:label	organism
ERROR	duplicate_label	organ	rdfs:label	organ
ERROR	duplicate_label	organ	rdfs:label	organ
ERROR	duplicate_label	oocyte	rdfs:label	oocyte
ERROR	duplicate_label	oocyte	rdfs:label	oocyte
ERROR	duplicate_label	neuron	rdfs:label	neuron
ERROR	duplicate_label	neuron	rdfs:label	neuron
ERROR	duplicate_label	nervous system	rdfs:label	nervous system
ERROR	duplicate_label	nervous system	rdfs:label	nervous system
ERROR	duplicate_label	male	rdfs:label	male
ERROR	duplicate_label	male	rdfs:label	male
ERROR	duplicate_label	hypodermis	rdfs:label	hypodermis
ERROR	duplicate_label	hypodermis	rdfs:label	hypodermis
ERROR	duplicate_label	hermaphrodite	rdfs:label	hermaphrodite
ERROR	duplicate_label	hermaphrodite	rdfs:label	hermaphrodite
ERROR	duplicate_label	head	rdfs:label	head
ERROR	duplicate_label	head	rdfs:label	head
ERROR	duplicate_label	germ cell	rdfs:label	germ cell
ERROR	duplicate_label	germ cell	rdfs:label	germ cell
ERROR	duplicate_label	epithelial cell	rdfs:label	epithelial cell
ERROR	duplicate_label	epithelial cell	rdfs:label	epithelial cell
ERROR	duplicate_label	digestive tract	rdfs:label	digestive tract
ERROR	duplicate_label	digestive tract	rdfs:label	digestive tract
ERROR	duplicate_label	blistered	rdfs:label	blistered
ERROR	duplicate_label	blistered	rdfs:label	blistered
ERROR	multiple_definitions	independent continuant	definition	A continuant that is a bearer of quality and realizable entity entities, in which other entities inhere and which itself cannot inhere in anything.@en
ERROR	multiple_definitions	independent continuant	definition	<b is an independent continuant = Def. b is a continuant which is such that there is no c and no t such that b s-depends_on c at t. (axiom label in BFO2 Reference: [017-002])@en>
ERROR	multiple_definitions	specifically dependent continuant	definition	A continuant that inheres in or is borne by other entities. Every instance of A requires some specific instance of B which must always be the same.@en
