defined_class	defined_class_label	chemical_entity	chemical_entity_label
WBPhenotype:0000009	anesthetic resistant	CHEBI:38867	anaesthetic
WBPhenotype:0000011	drug resistant	CHEBI:23888	drug
WBPhenotype:0000017	aldicarb resistant	CHEBI:2555	aldicarb
WBPhenotype:0000024	serotonin resistant	CHEBI:28790	serotonin
WBPhenotype:0000089	alpha amanitin resistant	CHEBI:37415	alpha-amanitin
WBPhenotype:0000252	caffeine resistant	CHEBI:27732	caffeine
WBPhenotype:0000340	imipramine resistant	CHEBI:47499	imipramine
WBPhenotype:0000381	serotonin reuptake inhibitor resistant	CHEBI:50949	serotonin uptake inhibitor
WBPhenotype:0000461	paraquat resistant	CHEBI:34905	paraquat
WBPhenotype:0000487	colchicine resistant	CHEBI:23359	colchicine
WBPhenotype:0000560	calcium channel modulator resistant	CHEBI:38808	calcium channel modulator
WBPhenotype:0000671	resistant to copper	CHEBI:28694	copper atom
WBPhenotype:0000790	fluoxetine resistant	CHEBI:5118	fluoxetine
WBPhenotype:0000964	DMPP resistant	CHEBI:4290	1,1-dimethyl-4-phenylpiperazinium iodide
WBPhenotype:0001203	nicotine resistant	CHEBI:18723	nicotine
WBPhenotype:0001289	acetylcholinesterase inhibitor resistant	CHEBI:38462	EC 3.1.1.7 (acetylcholinesterase) inhibitor
WBPhenotype:0001296	lannate resistant	CHEBI:6835	methomyl
WBPhenotype:0001502	chemical resistant	CHEBI:24431	chemical entity
WBPhenotype:0001578	cholinergic agonist resistant	CHEBI:38324	cholinergic agonist
WBPhenotype:0001599	ouabain resistant	CHEBI:472805	ouabain
WBPhenotype:0001604	mianserin resistant	CHEBI:51137	mianserin
WBPhenotype:0001612	ethanol resistant	CHEBI:16236	ethanol
WBPhenotype:0001615	anticonvulsant resistant	CHEBI:35623	anticonvulsant
WBPhenotype:0001618	halothane resistant	CHEBI:5615	halothane
WBPhenotype:0001619	isoflurane resistant	CHEBI:6015	isoflurane
WBPhenotype:0001649	Fluorouracil resistant	CHEBI:46345	5-fluorouracil
WBPhenotype:0001654	cadmium resistant	CHEBI:22977	cadmium atom
WBPhenotype:0001750	zinc toxicity resistant	CHEBI:27363	zinc atom
WBPhenotype:0001788	resistant to mutagens	CHEBI:25435	mutagen
WBPhenotype:0000326	arecoline resistant	CHEBI:2814	arecoline
WBPhenotype:0000421	levamisole resistant	CHEBI:6432	levamisole
WBPhenotype:0001204	muscimol resistant	CHEBI:7035	muscimol
WBPhenotype:0001338	phentolamine resistant	CHEBI:8081	phentolamine
WBPhenotype:0001602	methiothepin resistant	CHEBI:64203	methiothepin
WBPhenotype:0001603	cyproheptadine resistant	CHEBI:4046	cyproheptadine
WBPhenotype:0001616	trimethadione resistant	CHEBI:9727	trimethadione
WBPhenotype:0001617	ethosuximide resistant	CHEBI:4887	ethosuximide
WBPhenotype:0001839	phorbol ester resistant	CHEBI:37532	phorbol ester
WBPhenotype:0001855	fluoride resistant	CHEBI:17051	fluoride
WBPhenotype:0001904	manganese toxicity resistant	CHEBI:18291	manganese atom
WBPhenotype:0002048	abamectin resistant	CHEBI:39214	abamectin
WBPhenotype:0002053	ivermectin resistant	CHEBI:6078	ivermectin
WBPhenotype:0002077	dopamine resistant	CHEBI:18243	dopamine
WBPhenotype:0002258	nickel toxicity resistant	CHEBI:28112	nickel atom
WBPhenotype:0002422	tunicamycin resistant	CHEBI:29699	tunicamycin
WBPhenotype:0000489	chloroquine resistant	CHEBI:3638	chloroquine
