immunoglobulin_complex	entity
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/BFO_0000001
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/BFO_0000002
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/BFO_0000003
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/BFO_0000004
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/BFO_0000015
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/BFO_0000017
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/BFO_0000019
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/BFO_0000020
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/BFO_0000023
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/BFO_0000031
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/BFO_0000040
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CARO_0000003
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CARO_0000006
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CARO_0000014
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CARO_0010000
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000000
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000003
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000006
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000007
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000014
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000015
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000017
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000020
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000021
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000022
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000023
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000024
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000025
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000031
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000034
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000039
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000047
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000048
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000055
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000066
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000075
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000076
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000082
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000098
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000101
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000133
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000151
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000154
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000197
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000199
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000200
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000211
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000219
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000221
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000223
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000225
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000228
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000234
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000255
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000300
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000325
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000362
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000365
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000393
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000404
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000408
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000411
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000413
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000422
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000473
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000526
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000540
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000548
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000586
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000618
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000656
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000661
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000670
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000675
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0000710
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0001061
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0002076
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0002077
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0002159
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0002242
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0002251
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0002319
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0002320
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0002321
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0002368
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0002371
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0002632
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_0011115
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_1000272
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_2000029
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CL_2000032
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/CP_0000037
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0000002
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0000003
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0000018
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0000022
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0000045
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0000070
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0000075
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0000077
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0000082
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0000083
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0000086
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0000087
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0000117
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0000122
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0000184
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0000212
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0000226
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0000228
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0000229
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0000235
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0000262
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0000278
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0000279
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0000280
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0000281
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0000374
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0000375
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0000377
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0000723
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0000768
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0000781
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0000784
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0000793
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0000794
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0000819
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0000902
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0000904
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0000910
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0000932
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0000956
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0000957
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0000958
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0000959
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0000960
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0000961
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0000962
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0000963
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0001505
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0001508
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0001558
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0001667
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0001677
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0001704
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0001705
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0001706
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0001707
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0001708
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0001764
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0001932
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0001933
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0001934
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0001939
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0001940
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0001956
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0001966
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0002064
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0002119
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0002164
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0002181
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0002182
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0002183
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0002184
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0002376
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0002520
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0002682
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0002683
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0002684
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0002790
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0002791
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0002792
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0002793
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0002831
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0002832
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0002833
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0003006
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0003008
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0003674
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0003676
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0003677
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0003824
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0003990
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0004104
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0004871
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0004872
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0005102
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0005488
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0005515
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0005622
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0005623
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0005634
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0005635
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0005643
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0005694
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0005712
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0005730
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0005737
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0005739
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0005759
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0005773
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0005775
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0005777
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0005783
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0005788
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0005818
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0005819
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0005829
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0005856
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0005859
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0005863
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0005874
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0005876
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0005879
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0005880
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0005881
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0005884
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0005886
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0005929
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0005930
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0006066
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0006139
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0006259
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0006260
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0006261
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0006264
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0006270
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0006275
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0006279
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0006310
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0006323
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0006351
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0006355
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0006357
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0006366
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0006390
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0006396
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0006401
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0006402
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0006403
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0006405
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0006406
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0006412
http://purl.obolibrary.org/obo/GO_0019814	http://purl.obolibrary.org/obo/GO_0006413
