?cls	?xref
<http://purl.obolibrary.org/obo/CHEBI_46787>	"Wikipedia:Solvent"
<http://purl.obolibrary.org/obo/CHEBI_28790>	"HMDB:HMDB0000259"
<http://purl.obolibrary.org/obo/CHEBI_28790>	"KNApSAcK:C00001429"
<http://purl.obolibrary.org/obo/CHEBI_28790>	"Beilstein:143524"
<http://purl.obolibrary.org/obo/CHEBI_28790>	"Gmelin:1861995"
<http://purl.obolibrary.org/obo/CHEBI_28790>	"PDBeChem:SRO"
<http://purl.obolibrary.org/obo/CHEBI_28790>	"CAS:50-67-9"
<http://purl.obolibrary.org/obo/CHEBI_28790>	"KEGG:C00780"
<http://purl.obolibrary.org/obo/CHEBI_28790>	"PMID:18593914"
<http://purl.obolibrary.org/obo/CHEBI_28790>	"Wikipedia:Serotonin"
<http://purl.obolibrary.org/obo/CHEBI_28790>	"PMID:22770225"
<http://purl.obolibrary.org/obo/CHEBI_28790>	"Reaxys:143524"
<http://purl.obolibrary.org/obo/CHEBI_28790>	"LINCS:LSM-6589"
<http://purl.obolibrary.org/obo/CHEBI_28790>	"MetaCyc:SEROTONIN"
<http://purl.obolibrary.org/obo/CHEBI_28790>	"PMID:24136337"
<http://purl.obolibrary.org/obo/CHEBI_23359>	"CAS:54192-66-4"
<http://purl.obolibrary.org/obo/CHEBI_23359>	"LINCS:LSM-6449"
<http://purl.obolibrary.org/obo/CHEBI_23359>	"PMID:10680067"
<http://purl.obolibrary.org/obo/CHEBI_23359>	"Reaxys:2228812"
<http://purl.obolibrary.org/obo/CHEBI_23359>	"HMDB:HMDB0015466"
<http://purl.obolibrary.org/obo/CHEBI_23359>	"PMID:9819133"
<http://purl.obolibrary.org/obo/CHEBI_23359>	"Beilstein:2228812"
<http://purl.obolibrary.org/obo/CHEBI_23359>	"DrugBank:DB01394"
<http://purl.obolibrary.org/obo/CHEBI_23359>	"PMID:7200520"
<http://purl.obolibrary.org/obo/CHEBI_23359>	"PMID:24074178"
<http://purl.obolibrary.org/obo/CHEBI_15347>	"Reaxys:635680"
<http://purl.obolibrary.org/obo/CHEBI_15347>	"PMID:17347819"
<http://purl.obolibrary.org/obo/CHEBI_15347>	"CAS:67-64-1"
<http://purl.obolibrary.org/obo/CHEBI_15347>	"LIPID_MAPS_instance:LMFA12000057"
<http://purl.obolibrary.org/obo/CHEBI_15347>	"Beilstein:635680"
<http://purl.obolibrary.org/obo/CHEBI_15347>	"KEGG:C00207"
