?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/GO_0051130>	"Any process that activates or increases the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of cell structures, including the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope."	
<http://purl.obolibrary.org/obo/GO_0061065>	"Any process that modulates the rate, frequency, or extent of dauer larval development, the process whose specific outcome is the progression of the dauer larva over time, through the facultative diapause of the dauer (enduring) larval stage, with specialized traits adapted for dispersal and long-term survival, with elevated stress resistance and without feeding."	
<http://purl.obolibrary.org/obo/GO_0032102>	"Any process that stops, prevents, or reduces the frequency, rate or extent of a response to an external stimulus."	
<http://purl.obolibrary.org/obo/WBPhenotype_0001809>	"The formation of mature intracellular compartments via membrane fusion is disrupted."	
<http://purl.obolibrary.org/obo/GO_1904094>	"Any process that activates or increases the frequency, rate or extent of autophagic cell death."	
<http://purl.obolibrary.org/obo/WBPhenotype_0000305>	"Animals exhibit variations in any of a series of events in which a pheromone stimulus is received by a cell and converted into a molecular signal that influences behavior in control animals."	
<http://purl.obolibrary.org/obo/WBPhenotype_0000197>	"Variations in a cell's ability to influence the fate of another cell (often of different developmental potential or ancestry via short range signaling)."	
<http://purl.obolibrary.org/obo/WBPhenotype_0002182>	"Animals exhibit variations in endogenous levels of reactive oxygen species (chemically reactive molecules containing oxygen) compared to that observed in control animals."	
<http://purl.obolibrary.org/obo/WBPhenotype_0010004>	"Variations in the process(es) that constitute cell corpse degradation within the engulfing cell compared to control."	"WB:rk"
<http://purl.obolibrary.org/obo/WBPhenotype_0001407>	"Variations that result in a decrease in protein expression in specific cells compared to that observed in control animals."	
<http://purl.obolibrary.org/obo/GO_0106049>	"Any process that modulates the frequency, rate or extent of the cellular response to osmotic stress."	
<http://purl.obolibrary.org/obo/GO_0030424>	"The long process of a neuron that conducts nerve impulses, usually away from the cell body to the terminals and varicosities, which are sites of storage and release of neurotransmitter."	"Wikipedia:Axon NIF_Subcellular:sao1770195789"
<http://purl.obolibrary.org/obo/WBPhenotype_0002373>	"Animals show a stronger preference for a particular bacterium that has been grown under conditions that differ from a control lawn."	
<http://purl.obolibrary.org/obo/CHEBI_79314>	"Any compound that is added to manufactured materials to inhibit, suppress, or delay the production of flames and so prevent the spread of fire."	"Wikipedia:Flame_retardant"
<http://purl.obolibrary.org/obo/GO_0030003>	"A homeostatic process involved in the maintenance of a steady state level of monoatomic cations within a cell. Monatomic cations (also called simple cations) are cations consisting of exactly one atom."	
<http://purl.obolibrary.org/obo/GO_0090592>	"Synthesis of DNA that is a part of the process of duplicating one or more molecules of DNA."	
<http://purl.obolibrary.org/obo/WBPhenotype_0000680>	"Animals exhibit variations in their response to aldicarb compared to that observed in control animals."	
<http://purl.obolibrary.org/obo/GO_0042424>	"The chemical reactions and pathways resulting in the breakdown of any of a group of physiologically important biogenic amines that possess a catechol (3,4-dihydroxyphenyl) nucleus and are derivatives of 3,4-dihydroxyphenylethylamine."	
<http://purl.obolibrary.org/obo/GO_0051179>	"Any process in which a cell, a substance, or a cellular entity, such as a protein complex or organelle, is transported, tethered to or otherwise maintained in a specific location. In the case of substances, localization may also be achieved via selective degradation."	
<http://purl.obolibrary.org/obo/WBbt_0005501>		
<http://purl.obolibrary.org/obo/GO_0006974>	"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to its DNA from environmental insults or errors during metabolism."	
<http://purl.obolibrary.org/obo/GO_1905269>	"Any process that activates or increases the frequency, rate or extent of chromatin organization."	
<http://purl.obolibrary.org/obo/WBPhenotype_0001501>	"Animals fail to discriminate between distinct odorants."	
<http://purl.obolibrary.org/obo/GO_0005515>	"Binding to a protein."	
<http://purl.obolibrary.org/obo/WBPhenotype_0001039>	"Variations in the processes that regulate the change (increase) in size or mass of an integrated living unit (a cell, tissue, organ or organism) during the embryonic stage compared to control animals."	
<http://purl.obolibrary.org/obo/WBbt_0008189>	"seminal vesicle cell of male gonad."	
<http://purl.obolibrary.org/obo/CHEBI_18367>	"A phosphate ion that is the conjugate base of hydrogenphosphate."	"Wikipedia:Phosphate Gmelin:1997 Beilstein:3903772 PDBeChem:PO4 CAS:14265-44-2 Reaxys:3903772 KEGG:C00009"
<http://purl.obolibrary.org/obo/WBPhenotype_0001327>	"Cells respond to a lower dosage of gamma rays or a shorter exposure compared to control animals."	
<http://purl.obolibrary.org/obo/WBPhenotype_0001989>	"Animals respond to hypoxic (low oxygen levels) stress after a shorter exposure time compared to control."	
<http://purl.obolibrary.org/obo/WBPhenotype_0002400>	"Animals do not live or live poorly in the presence of glucose concentrations that normally do not have an effect on control animals."	
<http://purl.obolibrary.org/obo/GO_0006887>	"A process of secretion by a cell that results in the release of intracellular molecules (e.g. hormones, matrix proteins) contained within a membrane-bounded vesicle. Exocytosis can occur either by full fusion, when the vesicle collapses into the plasma membrane, or by a kiss-and-run mechanism that involves the formation of a transient contact, a pore, between a granule (for example of chromaffin cells) and the plasma membrane. The latter process most of the time leads to only partial secretion of the granule content. Exocytosis begins with steps that prepare vesicles for fusion with the membrane (tethering and docking) and ends when molecules are secreted from the cell."	"Wikipedia:Exocytosis"
<http://purl.obolibrary.org/obo/CHEBI_45379>	"An amino acid consisting of carbamic acid having an N-methyl substituent."	"PMID:22382393 PMID:18491873 PMID:21687849 Reaxys:1738994 PMID:21311787 PDBeChem:RGI CAS:6414-57-9 PMID:28083911 Beilstein:1738994 PMID:33146910 PMID:13663920"
<http://purl.obolibrary.org/obo/CHEBI_38366>	"A pent-3-enoic acid in trans- configuration."	"LIPID_MAPS_instance:LMFA01030005 Reaxys:1720312 CAS:13991-37-2"
<http://purl.obolibrary.org/obo/CHEBI_139592>	"An alpha-hydroxy ketone in which the carbonyl group and the hydroxy group are linked by a carbon bearing two organyl groups."	
<http://purl.obolibrary.org/obo/WBPhenotype_0001271>	"Animals are more prone to lethality as a result of infection compared to control."	
<http://purl.obolibrary.org/obo/WBPhenotype_0002615>	"Animals accumulate vacuoles in an abnormal manner in cells, tissues, and/or organs of the animal."	
<http://purl.obolibrary.org/obo/GO_0050768>	"Any process that stops, prevents, or reduces the frequency, rate or extent of neurogenesis, the generation of cells within the nervous system."	
<http://purl.obolibrary.org/obo/GO_1905902>	"Any process that modulates the frequency, rate or extent of mesoderm formation."	
<http://purl.obolibrary.org/obo/WBPhenotype_0000623>	"Any variation in the progression of nervous tissue over time, from its formation to its mature state compared to control."	
<http://purl.obolibrary.org/obo/WBPhenotype_0000299>	"Animals exhibit variations in the quantity, structure or organization of the components of the sense organs comprised of ciliated sensory nerve endings enveloped by sheath and/or socket cells, from that observed in control animals."	
<http://purl.obolibrary.org/obo/GO_1903187>	"Any process that stops, prevents or reduces the frequency, rate or extent of vitellogenesis."	
<http://purl.obolibrary.org/obo/WBPhenotype_0000275>	"Organisms respond to UV at a lower dose or a shorter exposure compared to control animals."	
<http://purl.obolibrary.org/obo/WBPhenotype_0000959>	"Any variation in the progression of the ganglion which lies at the anterior limit of the ventral nerve cord, near the ventral ganglion and nerve ring in the head posterior to the excretory pore over time from its initial formation to its mature form compared to control (Wormatlas)."	
<http://purl.obolibrary.org/obo/WBPhenotype_0002623>	"Animals exhibit no induction of expression of an antimicrobial peptide after an injury, unlike control animals."	
<http://purl.obolibrary.org/obo/WBPhenotype_0002630>	"Animals exhibit degeneration of the epithelial system (skin, integument or tegument), compared to control animals."	
<http://purl.obolibrary.org/obo/GO_0008219>	"Any biological process that results in permanent cessation of all vital functions of a cell. A cell should be considered dead when any one of the following molecular or morphological criteria is met: (1) the cell has lost the integrity of its plasma membrane; (2) the cell, including its nucleus, has undergone complete fragmentation into discrete bodies (frequently referred to as apoptotic bodies). The cell corpse (or its fragments) may be engulfed by an adjacent cell in vivo, but engulfment of whole cells should not be considered a strict criteria to define cell death as, under some circumstances, live engulfed cells can be released from phagosomes (see PMID:18045538)."	
<http://purl.obolibrary.org/obo/CHEBI_50903>	"A role played by a chemical compound which is known to  induce a process of carcinogenesis  by corrupting  normal cellular pathways, leading to the acquistion of tumoral capabilities."	
<http://purl.obolibrary.org/obo/WBPhenotype_0000084>	"The developmental program of the animals does not continue past the fourth larval stage (L4)."	
<http://purl.obolibrary.org/obo/WBPhenotype_0002129>	"Relative levels of mtDNA differ from that observed for control animals."	
