?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/CHEBI_76764>	<http://www.w3.org/2000/01/rdf-schema#label>	"EC 3.5.* (hydrolases acting on non-peptide C-N bonds) inhibitor"	
<http://purl.obolibrary.org/obo/CHEBI_48560>	<http://www.w3.org/2000/01/rdf-schema#label>	"dopaminergic agent"	
<http://purl.obolibrary.org/obo/CHEBI_59561>	<http://www.w3.org/2000/01/rdf-schema#label>	"diamino acid anion"	
<http://purl.obolibrary.org/obo/CHEBI_38869>	<http://www.w3.org/2000/01/rdf-schema#label>	"general anaesthetic"	
<http://purl.obolibrary.org/obo/CHEBI_37176>	<http://www.w3.org/2000/01/rdf-schema#label>	"mononuclear parent hydride"	
<http://purl.obolibrary.org/obo/CHEBI_46787>	<http://www.w3.org/2000/01/rdf-schema#label>	"solvent"	
<http://purl.obolibrary.org/obo/CHEBI_33300>	<http://www.w3.org/2000/01/rdf-schema#label>	"pnictogen"	
<http://purl.obolibrary.org/obo/CHEBI_28790>	<http://www.w3.org/2000/01/rdf-schema#label>	"serotonin"	
<http://purl.obolibrary.org/obo/CHEBI_23359>	<http://www.w3.org/2000/01/rdf-schema#label>	"colchicine"	
<http://purl.obolibrary.org/obo/CHEBI_76932>	<http://www.w3.org/2000/01/rdf-schema#label>	"pathway inhibitor"	
<http://purl.obolibrary.org/obo/CHEBI_26079>	<http://www.w3.org/2000/01/rdf-schema#label>	"phosphoric acid derivative"	
<http://purl.obolibrary.org/obo/CHEBI_35552>	<http://www.w3.org/2000/01/rdf-schema#label>	"heterocyclic organic fundamental parent"	
<http://purl.obolibrary.org/obo/CHEBI_15347>	<http://www.w3.org/2000/01/rdf-schema#label>	"acetone"	
<http://purl.obolibrary.org/obo/CHEBI_33232>	<http://www.w3.org/2000/01/rdf-schema#label>	"application"	
<http://purl.obolibrary.org/obo/CHEBI_17972>	<http://www.w3.org/2000/01/rdf-schema#label>	"ribonucleoside triphosphate"	
<http://purl.obolibrary.org/obo/CHEBI_51959>	<http://www.w3.org/2000/01/rdf-schema#label>	"organic tricyclic compound"	
<http://purl.obolibrary.org/obo/CHEBI_73693>	<http://www.w3.org/2000/01/rdf-schema#label>	"ketone body"	
<http://purl.obolibrary.org/obo/CHEBI_36093>	<http://www.w3.org/2000/01/rdf-schema#label>	"inorganic chloride"	
<http://purl.obolibrary.org/obo/CHEBI_43451>	<http://www.w3.org/2000/01/rdf-schema#label>	"hydrogen iodide"	
<http://purl.obolibrary.org/obo/CHEBI_24061>	<http://www.w3.org/2000/01/rdf-schema#label>	"fluorine atom"	
<http://purl.obolibrary.org/obo/CHEBI_18310>	<http://www.w3.org/2000/01/rdf-schema#label>	"alkane"	
<http://purl.obolibrary.org/obo/CHEBI_60809>	<http://www.w3.org/2000/01/rdf-schema#label>	"adjuvant"	
<http://purl.obolibrary.org/obo/CHEBI_15318>	<http://www.w3.org/2000/01/rdf-schema#label>	"xanthine"	
<http://purl.obolibrary.org/obo/CHEBI_37206>	<http://www.w3.org/2000/01/rdf-schema#label>	"hexol"	
<http://purl.obolibrary.org/obo/CHEBI_55324>	<http://www.w3.org/2000/01/rdf-schema#label>	"gastrointestinal drug"	
<http://purl.obolibrary.org/obo/CHEBI_35236>	<http://www.w3.org/2000/01/rdf-schema#label>	"D-cysteine zwitterion"	
<http://purl.obolibrary.org/obo/CHEBI_27162>	<http://www.w3.org/2000/01/rdf-schema#label>	"tryptamines"	
<http://purl.obolibrary.org/obo/CHEBI_57887>	<http://www.w3.org/2000/01/rdf-schema#label>	"tryptaminium"	
<http://purl.obolibrary.org/obo/CHEBI_46849>	<http://www.w3.org/2000/01/rdf-schema#label>	"piperazinium salt"	
<http://purl.obolibrary.org/obo/CHEBI_23982>	<http://www.w3.org/2000/01/rdf-schema#label>	"ethanols"	
<http://purl.obolibrary.org/obo/CHEBI_193111>	<http://www.w3.org/2000/01/rdf-schema#label>	"methylcarbamate"	
<http://purl.obolibrary.org/obo/CHEBI_36841>	<http://www.w3.org/2000/01/rdf-schema#label>	"11-hydroxy steroid"	
<http://purl.obolibrary.org/obo/CHEBI_139592>	<http://www.w3.org/2000/01/rdf-schema#label>	"tertiary alpha-hydroxy ketone"	
<http://purl.obolibrary.org/obo/CHEBI_39745>	<http://www.w3.org/2000/01/rdf-schema#label>	"dihydrogenphosphate"	
<http://purl.obolibrary.org/obo/CHEBI_64365>	<http://www.w3.org/2000/01/rdf-schema#label>	"aralkylamino compound"	
<http://purl.obolibrary.org/obo/CHEBI_35790>	<http://www.w3.org/2000/01/rdf-schema#label>	"oxazole"	
<http://purl.obolibrary.org/obo/CHEBI_138103>	<http://www.w3.org/2000/01/rdf-schema#label>	"inorganic acid"	
<http://purl.obolibrary.org/obo/CHEBI_29347>	<http://www.w3.org/2000/01/rdf-schema#label>	"monocarboxylic acid amide"	
