c,p,x
http://purl.obolibrary.org/obo/WBPhenotype_0002049,http://purl.obolibrary.org/obo/IAO_0000115,Animals are not affected to the same degree as control animals under similar conditions of abamectin exposure. 
http://purl.obolibrary.org/obo/WBPhenotype_0001997,http://purl.obolibrary.org/obo/IAO_0000115,The nucleus or nuclei are not positioned in a similar manner or pattern in the cell or syncytium to that observed in controls. 
http://purl.obolibrary.org/obo/WBPhenotype_0002128,http://purl.obolibrary.org/obo/IAO_0000115,"Males remain on food in the absence of mates, a defect in male mate-searching behavior observed in control males. "
http://purl.obolibrary.org/obo/WBPhenotype_0000683,http://purl.obolibrary.org/obo/IAO_0000115," The germ line is sexually transformed from hermaphrodite to male. In C. elegans, XX mog animals are somatically hermaphrodite, but germ cells that normally would become oocytes are transformed into sperm."
http://purl.obolibrary.org/obo/WBPhenotype_0001668,http://purl.obolibrary.org/obo/IAO_0000115,"An increased number of oocytes are retained in the gonad without becoming endomitotic, compared to control. "
http://purl.obolibrary.org/obo/WBPhenotype_0001719,http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym,ER unfolded protein response abnormal 
http://purl.obolibrary.org/obo/WBPhenotype_0001844,http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym,fat granule regulated hydrolysis variant 
http://purl.obolibrary.org/obo/WBPhenotype_0001960,http://purl.obolibrary.org/obo/IAO_0000115,The spindle in the early embryo is aberrant in the characteristic posterior aster oscillations that occur along the transverse longitudinal axis of the spindle. 
http://purl.obolibrary.org/obo/WBPhenotype_0002078,http://purl.obolibrary.org/obo/IAO_0000115,The pattern or state of methyl modifications of histone varies from that of controls. 
http://purl.obolibrary.org/obo/WBPhenotype_0002254,http://purl.obolibrary.org/obo/IAO_0000115,3' uridylation of mRNA targeted for silencing does not occur at the same rate or extent of targeted mRNA in control animals. 
http://purl.obolibrary.org/obo/WBPhenotype_0001933,http://purl.obolibrary.org/obo/IAO_0000115,The pattern of localization of presynaptic markers is disrupted compared to control animals. 
http://purl.obolibrary.org/obo/WBPhenotype_0002236,http://purl.obolibrary.org/obo/IAO_0000115,The degradation of endocytosed and intracellular material does not occur to the same extent as it does in control animals. 
http://purl.obolibrary.org/obo/WBPhenotype_0002361,http://purl.obolibrary.org/obo/IAO_0000115,"Animals exhibit increased fluidity of cell membranes, compared to control animals. "
http://purl.obolibrary.org/obo/WBPhenotype_0000295,http://www.geneontology.org/formats/oboInOwl#hasNarrowSynonym,intrinsic thermotolerance increased 
http://purl.obolibrary.org/obo/WBPhenotype_0000151,http://www.geneontology.org/formats/oboInOwl#hasBroadSynonym,Apx 
